genome	SGB_assignment	SGB231	SGB171	SGB176	SGB177	SGB365	SGB175	SGB411	SGB434	SGB179	SGB382	SGB233	SGB565	SGB564	SGB567	SGB409	SGB563	SGB562	SGB275	SGB235	SGB277	SGB276	SGB569	SGB270	SGB515	SGB661	SGB631	SGB35	SGB31	SGB459	SGB120	SGB671	SGB341	SGB658	SGB417	SGB677	SGB678	SGB690	SGB166	SGB717	SGB163	SGB162	SGB164	SGB167	SGB399	SGB288	SGB397	SGB394	SGB392	SGB393	SGB605	SGB419	SGB249	SGB314	SGB553	SGB554	SGB313	SGB310	SGB595	SGB240	SGB242	SGB244	SGB26-MERGED-SGB655	SGB318	SGB247	SGB41	SGB504	SGB43	SGB597	SGB45	SGB46	SGB49	SGB48	SGB482	SGB293	SGB566	SGB486	SGB617	SGB484	SGB485	SGB287	SGB647	SGB640	SGB643	SGB257	SGB425	SGB329	SGB251	SGB558	SGB155	SGB156	SGB157	SGB622	SGB149	SGB383	SGB194-MERGED-SGB472	SGB305	SGB307	SGB221	SGB300	SGB303	SGB153	SGB309	SGB6	SGB541	SGB52	SGB53	SGB50	SGB135	SGB56	SGB372	SGB479	SGB224-MERGED-SGB546	SGB58	SGB59	SGB480	SGB245	SGB524	SGB712	SGB713	SGB493	SGB711	SGB495	SGB527	SGB497	SGB268	SGB648	SGB718	SGB657	SGB543	SGB232	SGB223	SGB431	SGB430	SGB639	SGB227	SGB225	SGB142	SGB228	SGB636	SGB246	SGB144	SGB592-MERGED-SGB93	SGB332	SGB334	SGB336	SGB152-MERGED-SGB210	SGB532	SGB416	SGB653-MERGED-SGB75	SGB536	SGB353	SGB129-MERGED-SGB301-MERGED-SGB54-MERGED-SGB604	SGB666	SGB331	SGB67	SGB64	SGB63	SGB62	SGB61	SGB60	SGB70	SGB2	SGB575	SGB637	SGB256	SGB608	SGB609	SGB87	SGB86	SGB81	SGB80	SGB82	SGB601	SGB603	SGB89	SGB219	SGB606	SGB446	SGB528	SGB267	SGB683-MERGED-SGB710	SGB9	SGB138	SGB328	SGB136	SGB507	SGB134	SGB7	SGB525	SGB1	SGB130	SGB449	SGB79	SGB547-MERGED-SGB66	SGB248	SGB213-MERGED-SGB29-MERGED-SGB85	SGB438	SGB76	SGB77	SGB698	SGB140	SGB627	SGB148	SGB113	SGB624	SGB732	SGB514	SGB97	SGB516	SGB95	SGB510	SGB209	SGB90	SGB91	SGB376-MERGED-SGB410	SGB206	SGB200	SGB202	SGB99	SGB455	SGB285	SGB358	SGB359	SGB280	SGB128	SGB699	SGB283	SGB384	SGB124	SGB695	SGB126	SGB121	SGB289	SGB123	SGB122	SGB460	SGB108	SGB461	SGB398	SGB187	SGB728	SGB281	SGB523	SGB503	SGB502	SGB501	SGB500	SGB453	SGB441	SGB354-MERGED-SGB731	SGB439	SGB212	SGB211	SGB217	SGB216	SGB214	SGB118	SGB119	SGB463	SGB282	SGB466	SGB467	SGB271-MERGED-SGB361	SGB112	SGB298	SGB114	SGB116	SGB511	SGB139	SGB191	SGB342	SGB195	SGB196	SGB198	SGB199	SGB513	SGB284	SGB714	SGB154-MERGED-SGB94	SGB381	SGB28	SGB598	SGB599	SGB610	SGB16	SGB17	SGB14	SGB15	SGB12	SGB619	SGB593	SGB107	SGB190	SGB370	SGB371	SGB101	SGB100	SGB518	SGB147	SGB379	SGB10	SGB238-MERGED-SGB660	SGB576	SGB531	SGB51	SGB573	SGB570	SGB582	SGB266	SGB476	SGB264	SGB473	SGB263	SGB470	SGB151	SGB316	SGB580	SGB317	SGB274-MERGED-SGB386	SGB186	SGB185	SGB181	SGB180	SGB220	SGB456	SGB306	SGB618	SGB665	SGB23	SGB22	SGB668	SGB20	SGB27	SGB586	SGB585	SGB24
CM_A1-3_MERGE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	
SRR6748000	0	7	0	0	524	1	0	0	0	0	0	2	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	252	30	0	0	0	0	0	0	0	0	0	0	0	112	0	60	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	6	0	8	0	4	0	0	12	0	0	0	0	0	125	0	1	0	0	8	0	24	0	46	0	0	0	0	0	48	0	34	0	0	85	0	0	0	2	0	1334	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	2	0	0	0	22	0	59	2	415	0	0	15	16	0	704	0	4148	0	7	15	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	1	0	0	5	0	142	0	0	2	0	0	0	73	40	0	0	105	0	0	4	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	501	79	0	0	75	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	10	0	0	0	38	1	0	0	32	0	0	9	0	0	0	0	0	154	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	41	0	0	0	0	27	0	0	0	17	0	0	1	0	0	0	0	0	16	76	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	
SRR6748001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	535	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	23675	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
SRR6748007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	39	0	0	0	0	0	0	
CM_A5-3_MERGE	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
H3_MERGE	0	0	0	6	19	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	24	18	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	44	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	1	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	20	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	
B4-2_MERGE	0	0	0	19	31	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	7	0	1	0	0	35	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	46	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	55	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	14	3269	369	1	0	0	0	0	0	0	0	0	0	0	1	0	18	0	0	0	0	0	0	0	0	1	0	10	0	0	0	0	0	3	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	2	0	0	1	0	0	0	85	0	0	0	0	87	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	10	0	0	0	0	0	116	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	44	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	91	
SRS062752	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	6	2	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	6	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	2	0	0	5	0	0	0	0	0	11916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	72	0	0	0	0	15	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	2	0	0	16	0	0	0	0	10	0	0	0	0	31	0	0	0	0	0	0	0	0	6	171	0	0	9	0	0	0	
E3_MERGE	0	0	0	9	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	59	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	151	
SRS050184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4514	12	0	0	0	0	0	0	0	0	0	0	0	3	0	0	12	0	0	0	0	0	0	0	7	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	124	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	25	2	0	0	0	0	0	0	
